Acao,Data,Close,Volume
OGXP3,2011-09-14,11.55,30742600
OGXP3,2011-09-15,11.66,20604600
OGXP3,2011-09-16,12.01,20254200
OGXP3,2011-09-19,12.10,20696200
OGXP3,2011-09-20,12.35,36261800
OGXP3,2011-09-21,12.40,27869000
OGXP3,2011-09-22,11.58,27779000
OGXP3,2011-09-23,11.71,20314400
OGXP3,2011-09-26,12.04,20087100
OGXP3,2011-09-27,12.10,22730700
OGXP3,2011-09-28,11.96,25292400
OGXP3,2011-09-29,12.09,17883800
OGXP3,2011-09-30,11.50,18614700
OGXP3,2011-10-03,10.95,20256800
OGXP3,2011-10-04,10.80,43123400
OGXP3,2011-10-05,10.80,22401800
OGXP3,2011-10-06,11.28,21690900
OGXP3,2011-10-07,11.38,29865600
OGXP3,2011-10-10,11.92,16109700
OGXP3,2011-10-11,12.29,28973400
OGXP3,2011-10-13,12.35,30364000
OGXP3,2011-10-14,12.35,26193000
OGXP3,2011-10-17,11.92,27874900
OGXP3,2011-10-18,12.70,30889500
OGXP3,2011-10-19,12.88,23822100
OGXP3,2011-10-20,12.74,16714200
OGXP3,2011-10-21,13.24,27990900
OGXP3,2011-10-28,14.80,19578300
OGXP3,2011-10-31,14.20,17160700
OGXP3,2011-11-01,13.95,25527300
OGXP3,2011-11-03,14.18,13666900
OGXP3,2011-11-04,14.23,11593000
OGXP3,2011-11-07,14.55,11907400
OGXP3,2011-11-08,14.42,11610200
OGXP3,2011-11-09,13.95,17435400
OGXP3,2011-11-11,13.99,12945200
OGXP3,2011-11-14,13.83,8051800
OGXP3,2011-11-16,14.04,15554200
OGXP3,2011-11-17,13.90,13701600
OGXP3,2011-11-18,13.90,12054900
OGXP3,2011-11-21,13.78,15753700
OGXP3,2011-11-22,14.03,15027700
OGXP3,2011-11-23,13.95,15898900
OGXP3,2011-11-24,13.82,7162500
OGXP3,2011-11-25,13.70,8571800
OGXP3,2011-11-28,13.92,9509300
OGXP3,2011-11-29,13.68,15913600
OGXP3,2011-11-30,13.96,24259800
OGXP3,2011-12-01,14.08,11901800
OGXP3,2011-12-02,14.10,10040600
OGXP3,2011-12-05,14.35,14641200
